Date,Risk Country,Exchange Country,Sector,Risk Issuer,Description,Instrument Id,BBG ticker,BB ticker (Underlying),Instrument Type,PB account,Strategy,$ Daily P&L,$ MTD P&L,FX Rate (PBD),SOD Quantity,Quantity,Delta Shares,$ Delta,$ Delta (PBD),Gross Delta Adjusted MV,$ NMV,$ NMV (PBD),Native Currency,Avg Entry Price,Market Price,USD Price,Pricing Factor,Contract Multiplier,Option Type,Maturity Date,Option Strike,Underlying Market Price,$ Underlying Market Price,Instrument Delta,Model Volatility,Credit Spread,$ Gamma,$ Theta,$ Vega,Book DV01,90d Realized Vol,60d Avg Volm (Underlying),Market Cap Bucket,First Trade Date,Last Trade Date,Inactive Date,PantareiRelativeIndex,PantareiRelativeIndexBeta,Illogical Condition,$ Net Traded Tdy
9/26/2024,Japan,Japan,Information Technology,"NTT Data ",NTT DATA GROUP ORD,1198370,9613 JP Equity,9613 JP Equity,Equity,UBS Cash,SDD,-145670.02625035,-2072.67891683,144.76000000,-223400.00000000,-215000.00000000,-215000.00000000,-3903890.67413013,-3909037.02680298,3903890.67413013,-3903890.67413013,-3909037.02680298,JPY,2565.13238177,2627.50000000,18.15763104,,1.00000000,,,,2627.50000000,18.15763104,1.00000000,,,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.33830556,3771593.33333333,> $5b,5/15/2024,9/26/2024,,TPX,1.09808829,1.00000000,-152288.96103896
9/26/2024,Japan,Japan,Information Technology,"NTT Data ",NTT DATA GROUP ORD,1198370,9613 JP Equity,9613 JP Equity,Equity,BAML Cash,SDD,,-7401.37468914,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,7/16/2024,9/6/2024,9/10/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Industrials,Nabtesco,NABTESCO CORP ORD,1197564,6268 JP Equity,6268 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$1b - $3b,5/1/2024,5/1/2024,5/7/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Industrials,"Nagoya Railroad ",NAGOYA RR ORD,1198711,9048 JP Equity,9048 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$1b - $3b,5/31/2024,6/6/2024,6/10/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Health Care,"Nakanishi ",NAKANISHI ORD,1235304,7716 JP Equity,7716 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$1b - $3b,8/21/2024,8/22/2024,8/26/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Communication Services,"Nexon ",NEXON ORD,21104387,3659 JP Equity,3659 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/16/2024,7/2/2024,7/4/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Communication Services,"Nexon ",NEXON ORD,21104387,3659 JP Equity,3659 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/27/2024,8/28/2024,8/30/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Industrials,Nidec,NIDEC ORD,1197463,6594 JP Equity,6594 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/20/2024,5/20/2024,5/22/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Industrials,Nidec,NIDEC ORD,1197463,6594 JP Equity,6594 JP Equity,Equity,UBS Cash,SDD,32882.01160542,150164.05775076,144.76000000,40000.00000000,40000.00000000,40000.00000000,1731799.17763726,1698259.18762089,1731799.17763726,1731799.17763726,1698259.18762089,JPY,5722.59703212,6265.00000000,43.29497944,,1.00000000,,,,6265.00000000,43.29497944,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.33310680,3095100.00000000,> $5b,9/18/2024,9/25/2024,,TPX,0.95420241,1.00000000,0.00000000
9/26/2024,Japan,Japan,Health Care,Nihon Kohden,NIHON KOHDEN ORD,1197832,6849 JP Equity,6849 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$1b - $3b,5/16/2024,8/2/2024,8/6/2024,TPX,,,0.00000000
